主机名,IP,游戏服数量,内存,CPU,硬盘,备注
gcld-01.th,27.131.147.230,0,48,8,300,泰语前端静态资源
gcld-02.th,27.131.147.231,5,48,8,300,
gcld-05.th,27.131.147.247,4,8,4,100,泰语测试服999/1000/1001
gcld-06.th,27.131.147.138,0,48,8,300,泰语跨服gw/match
gcld-07.th,27.131.147.153 ,5,48,8,300,
gcld-08.th,27.131.147.129,5,48,8,300,
gcld-09.th,27.131.147.130,5,48,8,300,
gcld-10.th,27.131.147.131,6,48,8,300, 
gcld-11.th,27.131.147.133,4,48,8,300,
gcld-13.th,27.131.149.236,4,48,8,300,
gcld-14.th,27.131.149.183,4,48,8,300,
gcld-15.th,27.131.149.237,4,48,8,300,
gcld-16.th,27.131.149.224,1,48,8,600, 
